module_path,source_set,kotlin_loc,kotlin_files
:androidApp,main,35,1
:composeApp,androidMain,0,0
:composeApp,commonMain,526,15
:composeApp,iosMain,5,1
:composeApp,jvmMain,13,1
:composeApp,jvmTest,32,1
:composeApp,nonWebMain,4,1
:composeApp,webMain,77,3
:server,main,452,3
:server,test,19,1
:koinModulesAggregate:be,main,69,1
:koinModulesAggregate:fe,commonMain,85,1
:testInfra:be,main,18,1
:testInfra:common,commonMain,49,2
:testInfra:fe,commonMain,34,1
:core:foundation:be,main,7,1
:core:foundation:common,commonMain,131,9
:core:foundation:common,commonTest,101,1
:core:foundation:common,nonWebMain,9,1
:core:foundation:common,webMain,8,1
:core:foundation:fe,commonMain,11,2
:core:network:fe,commonMain,222,9
:core:storage:fe,commonMain,10,1
:core:storage:fe,nonWebMain,10,1
:feat:clients:contract,commonMain,32,3
:feat:findings:contract,commonMain,66,4
:feat:inspections:contract,commonMain,37,3
:feat:projects:contract,commonMain,66,6
:feat:reports:contract,commonMain,5,1
:feat:structures:contract,commonMain,31,3
:feat:users:contract,commonMain,19,2
:lib:database:fe,androidMain,17,1
:lib:database:fe,commonMain,164,5
:lib:database:fe,iosMain,15,1
:lib:database:fe,jvmMain,15,1
:lib:database:fe,webMain,10,1
:lib:design:fe,androidMain,7,1
:lib:design:fe,commonMain,1243,34
:lib:design:fe,commonTest,171,1
:lib:design:fe,jvmMain,19,2
:lib:design:fe,nonAndroidMain,9,1
:lib:design:fe,nonJvmMain,3,1
:lib:routing:be,main,21,4
:lib:routing:common,commonMain,2,1
:lib:routing:fe,commonMain,46,3
:lib:routing:fe,webMain,5,1
:lib:storage:contract,commonMain,11,2
:core:business:rules:api,commonMain,8,2
:core:business:rules:impl,commonMain,30,3
:core:business:rules:impl,commonTest,130,2
:feat:authentication:app:model,commonMain,4,1
:feat:authentication:fe:ports,commonMain,17,2
:feat:authorization:business:model,commonMain,8,1
:feat:clients:app:model,commonMain,16,1
:feat:clients:be:ports,main,14,1
:feat:clients:business:model,commonMain,9,1
:feat:clients:business:rules,commonMain,19,2
:feat:clients:business:rules,commonTest,56,2
:feat:clients:fe:ports,commonMain,35,2
:feat:findings:app:model,commonMain,33,2
:feat:findings:be:ports,main,32,2
:feat:findings:business:model,commonMain,67,6
:feat:findings:fe:ports,commonMain,91,4
:feat:inspections:app:model,commonMain,18,1
:feat:inspections:be:ports,main,17,1
:feat:inspections:business:model,commonMain,12,1
:feat:inspections:fe:ports,commonMain,38,2
:feat:projects:app:model,commonMain,32,2
:feat:projects:be:ports,main,45,3
:feat:projects:business:model,commonMain,18,2
:feat:projects:business:rules,commonMain,67,5
:feat:projects:business:rules,commonTest,324,5
:feat:projects:fe:ports,commonMain,96,5
:feat:reports:be:ports,main,21,2
:feat:reports:business:model,commonMain,32,2
:feat:reports:business:rules,commonMain,45,3
:feat:reports:business:rules,commonTest,120,2
:feat:reports:fe:ports,commonMain,11,1
:feat:shared:storage:be,main,10,1
:feat:shared:storage:fe,commonMain,7,1
:feat:structures:app:model,commonMain,15,1
:feat:structures:be:ports,main,17,1
:feat:structures:business:model,commonMain,8,1
:feat:structures:fe:ports,commonMain,39,2
:feat:sync:business:model,commonMain,10,2
:feat:sync:fe:ports,commonMain,36,3
:feat:users:app:model,commonMain,18,1
:feat:users:be:ports,main,13,1
:feat:users:business:model,commonMain,8,1
:feat:users:business:rules,commonMain,34,1
:feat:users:business:rules,commonTest,68,1
:feat:users:fe:ports,commonMain,28,2
:lib:configuration:be:api,main,20,1
:lib:configuration:common:api,commonMain,9,1
:lib:configuration:fe:api,commonMain,22,2
:lib:configuration:fe:api,jvmMain,4,1
:lib:configuration:fe:api,mobileMain,4,1
:lib:configuration:fe:api,webMain,4,1
:lib:database:fe:test,commonMain,65,1
:lib:network:be:api,main,11,2
:lib:network:be:impl,main,146,6
:lib:network:be:test,main,8,1
:lib:network:common:impl,commonMain,11,1
:lib:network:fe:api,commonMain,40,3
:lib:network:fe:impl,commonMain,275,9
:lib:network:fe:impl,commonTest,132,1
:lib:network:fe:impl,jsMain,31,2
:lib:network:fe:impl,nonWebMain,36,3
:lib:network:fe:impl,wasmJsMain,50,2
:lib:network:fe:impl,webMain,62,5
:lib:network:fe:test,commonMain,95,4
:lib:storage:be:api,main,19,3
:lib:storage:be:impl,main,155,4
:lib:storage:be:impl,test,135,1
:lib:storage:be:test,main,48,2
:lib:storage:fe:api,commonMain,4,1
:lib:storage:fe:impl,androidMain,16,1
:lib:storage:fe:impl,commonMain,72,3
:lib:storage:fe:impl,iosMain,24,1
:lib:storage:fe:impl,jvmMain,16,1
:lib:storage:fe:impl,nonWebMain,38,1
:lib:storage:fe:impl,webMain,3,1
:lib:storage:fe:test,commonMain,38,2
:lib:storage:fe:test,nonWebMain,35,2
:lib:storage:fe:test,webMain,3,1
:feat:authentication:be:driving:api,main,15,4
