file,unit,status,loc_churn,bucket,recurring,source,reason,blast_radius_module,blast_radius_unit
feat/inspections/app/model/build.gradle.kts,:root::non-module,D,13,collateral,False,rule:build_gradle_collateral,"build.gradle.kts edit in a pre-existing module — typically a new dependency or plugin declaration, avoidable if the convention plugins auto-wire it",0,0
feat/inspections/app/model/src/commonMain/kotlin/cz/adamec/timotej/snag/feat/inspections/app/model/AppInspection.kt,:feat:inspections:app:model::commonMain,D,21,local,False,hand:local_module_globs,Unit inside a module declared local to this change (:feat:inspections:*),26,45
feat/inspections/be/app/api/build.gradle.kts,:root::non-module,D,3,collateral,False,rule:build_gradle_collateral,"build.gradle.kts edit in a pre-existing module — typically a new dependency or plugin declaration, avoidable if the convention plugins auto-wire it",0,0
feat/inspections/be/app/api/src/main/kotlin/cz/adamec/timotej/snag/feat/inspections/be/app/api/DeleteInspectionUseCase.kt,:feat:inspections:be:app:api::main,D,20,local,False,hand:local_module_globs,Unit inside a module declared local to this change (:feat:inspections:*),3,6
feat/inspections/be/app/api/src/main/kotlin/cz/adamec/timotej/snag/feat/inspections/be/app/api/GetInspectionUseCase.kt,:feat:inspections:be:app:api::main,D,20,local,False,hand:local_module_globs,Unit inside a module declared local to this change (:feat:inspections:*),3,6
feat/inspections/be/app/api/src/main/kotlin/cz/adamec/timotej/snag/feat/inspections/be/app/api/GetInspectionsModifiedSinceUseCase.kt,:feat:inspections:be:app:api::main,D,20,local,False,hand:local_module_globs,Unit inside a module declared local to this change (:feat:inspections:*),3,6
feat/inspections/be/app/api/src/main/kotlin/cz/adamec/timotej/snag/feat/inspections/be/app/api/GetInspectionsUseCase.kt,:feat:inspections:be:app:api::main,D,20,local,False,hand:local_module_globs,Unit inside a module declared local to this change (:feat:inspections:*),3,6
feat/inspections/be/app/api/src/main/kotlin/cz/adamec/timotej/snag/feat/inspections/be/app/api/SaveInspectionUseCase.kt,:feat:inspections:be:app:api::main,D,19,local,False,hand:local_module_globs,Unit inside a module declared local to this change (:feat:inspections:*),3,6
feat/inspections/be/app/api/src/main/kotlin/cz/adamec/timotej/snag/feat/inspections/be/app/api/model/DeleteInspectionRequest.kt,:feat:inspections:be:app:api::main,D,21,local,False,hand:local_module_globs,Unit inside a module declared local to this change (:feat:inspections:*),3,6
feat/inspections/be/app/api/src/main/kotlin/cz/adamec/timotej/snag/feat/inspections/be/app/api/model/GetInspectionsModifiedSinceRequest.kt,:feat:inspections:be:app:api::main,D,21,local,False,hand:local_module_globs,Unit inside a module declared local to this change (:feat:inspections:*),3,6
