unit,module_path,source_set,file_count,loc_churn_sum,dominant_bucket,recurring,blast_radius_module,blast_radius_unit
:feat:inspections:app:model::commonMain[FE+BE],:feat:inspections:app:model,commonMain[FE+BE],1,21,local,False,26,45
:feat:inspections:be:app:api::main,:feat:inspections:be:app:api,main,7,141,local,False,3,6
:feat:inspections:be:app:impl::main,:feat:inspections:be:app:impl,main,7,249,local,False,1,1
:feat:inspections:be:app:impl::test,:feat:inspections:be:app:impl,test,2,173,local,False,1,1
:feat:inspections:be:app:model::main,:feat:inspections:be:app:model,main,1,24,local,False,14,19
:feat:inspections:be:driven:impl::main,:feat:inspections:be:driven:impl,main,3,195,local,False,1,1
:feat:inspections:be:driven:test::main,:feat:inspections:be:driven:test,main,1,45,local,False,73,92
:feat:inspections:be:driving:impl::main,:feat:inspections:be:driving:impl,main,3,188,local,False,1,1
:feat:inspections:be:driving:impl::test,:feat:inspections:be:driving:impl,test,1,205,local,False,1,1
:feat:inspections:be:ports::main,:feat:inspections:be:ports,main,1,35,local,False,73,92
:feat:inspections:business:model::commonMain[FE+BE],:feat:inspections:business:model,commonMain[FE+BE],1,20,local,False,26,45
:feat:inspections:contract::commonMain[FE+BE],:feat:inspections:contract,commonMain[FE+BE],3,79,local,False,2,3
:feat:inspections:fe:app:api::commonMain[FE],:feat:inspections:fe:app:api,commonMain[FE],7,149,local,False,4,16
:feat:inspections:fe:app:impl::commonMain[FE],:feat:inspections:fe:app:impl,commonMain[FE],11,442,local,False,1,1
:feat:inspections:fe:app:impl::commonTest,:feat:inspections:fe:app:impl,commonTest,4,448,local,False,1,1
:feat:inspections:fe:driven:impl::commonMain[FE],:feat:inspections:fe:driven:impl,commonMain[FE],7,348,local,False,1,1
:feat:inspections:fe:driven:test::commonMain[FE],:feat:inspections:fe:driven:test,commonMain[FE],3,140,local,False,5,12
:feat:inspections:fe:driving:api::commonMain[FE],:feat:inspections:fe:driving:api,commonMain[FE],4,486,local,False,3,9
:feat:inspections:fe:driving:api::nonWebMain,:feat:inspections:fe:driving:api,nonWebMain,2,63,local,False,3,9
:feat:inspections:fe:driving:api::webMain,:feat:inspections:fe:driving:api,webMain,3,113,local,False,3,9
:feat:inspections:fe:driving:impl::commonMain[FE],:feat:inspections:fe:driving:impl,commonMain[FE],11,1207,local,False,1,1
:feat:inspections:fe:driving:impl::commonTest,:feat:inspections:fe:driving:impl,commonTest,2,388,local,False,1,1
:feat:inspections:fe:driving:impl::nonWebMain,:feat:inspections:fe:driving:impl,nonWebMain,1,23,local,False,1,1
:feat:inspections:fe:driving:impl::webMain,:feat:inspections:fe:driving:impl,webMain,1,23,local,False,1,1
:feat:inspections:fe:ports::commonMain[FE],:feat:inspections:fe:ports,commonMain[FE],2,76,local,False,7,14
:feat:projects:fe:app:impl::commonMain[FE],:feat:projects:fe:app:impl,commonMain[FE],3,12,collateral,False,4,13
:feat:projects:fe:driving:impl::commonMain[FE],:feat:projects:fe:driving:impl,commonMain[FE],8,176,collateral,False,2,8
:feat:projects:fe:driving:impl::commonTest,:feat:projects:fe:driving:impl,commonTest,1,222,collateral,False,2,8
:feat:projects:fe:driving:impl::nonWebMain,:feat:projects:fe:driving:impl,nonWebMain,2,8,collateral,False,2,8
:feat:projects:fe:driving:impl::webMain,:feat:projects:fe:driving:impl,webMain,2,8,collateral,False,2,8
:feat:reports:be:app:impl::main,:feat:reports:be:app:impl,main,1,6,collateral,False,1,1
:feat:reports:be:driven:impl::main,:feat:reports:be:driven:impl,main,1,40,collateral,False,1,1
:feat:reports:be:ports::main,:feat:reports:be:ports,main,1,2,collateral,False,6,8
:koinModulesAggregate:be::main,:koinModulesAggregate:be,main,1,6,intrinsic,True,2,3
:koinModulesAggregate:fe::commonMain[FE],:koinModulesAggregate:fe,commonMain[FE],1,8,intrinsic,True,2,8
:root::non-module,:root,non-module,26,228,collateral,True,0,0
:root::settings,:root,settings,1,17,intrinsic,True,0,0
:server::main,:server,main,1,55,intrinsic,True,0,0
:testInfra:fe::commonMain[FE],:testInfra:fe,commonMain[FE],1,2,intrinsic,True,74,160
