unit,module_path,source_set,file_count,loc_churn_sum,dominant_bucket,recurring,blast_radius_module,blast_radius_unit
:feat:findings:fe:app:api::commonMain[FE],:feat:findings:fe:app:api,commonMain[FE],1,5,local,False,4,12
:feat:findings:fe:app:impl::commonMain[FE],:feat:findings:fe:app:impl,commonMain[FE],1,6,local,False,3,9
:feat:findings:fe:app:impl::nonWebMain,:feat:findings:fe:app:impl,nonWebMain,1,3,local,False,3,2
:feat:findings:fe:app:impl::webMain,:feat:findings:fe:app:impl,webMain,1,21,local,False,3,2
:feat:findings:fe:driving:impl::webMain,:feat:findings:fe:driving:impl,webMain,1,14,local,False,1,0
:feat:findings:fe:ports::commonMain[FE],:feat:findings:fe:ports,commonMain[FE],1,1,local,False,10,23
:feat:projects:fe:app:api::commonMain[FE],:feat:projects:fe:app:api,commonMain[FE],1,5,local,False,7,21
:feat:projects:fe:app:impl::commonMain[FE],:feat:projects:fe:app:impl,commonMain[FE],1,6,local,False,4,12
:feat:projects:fe:app:impl::nonWebMain,:feat:projects:fe:app:impl,nonWebMain,1,3,local,False,4,3
:feat:projects:fe:app:impl::webMain,:feat:projects:fe:app:impl,webMain,1,21,local,False,4,3
:feat:projects:fe:driving:impl::webMain,:feat:projects:fe:driving:impl,webMain,1,14,local,False,2,1
:feat:projects:fe:ports::commonMain[FE],:feat:projects:fe:ports,commonMain[FE],1,1,local,False,11,23
