unit,module_path,source_set,file_count,loc_churn_sum,dominant_bucket,recurring,blast_radius_module,blast_radius_unit
:feat:findings:fe:app:impl::webMain,:feat:findings:fe:app:impl,webMain,1,16,collateral,False,3,2
:feat:findings:fe:app:impl::webTest,:feat:findings:fe:app:impl,webTest,1,142,collateral,False,3,0
:feat:projects:app:model::commonMain[FE+BE],:feat:projects:app:model,commonMain[FE+BE],1,30,local,False,40,69
:feat:projects:be:app:api::main,:feat:projects:be:app:api,main,5,101,local,False,11,22
:feat:projects:be:app:impl::main,:feat:projects:be:app:impl,main,4,126,local,False,1,1
:feat:projects:be:app:impl::test,:feat:projects:be:app:impl,test,2,167,local,False,1,1
:feat:projects:be:app:model::main,:feat:projects:be:app:model,main,1,33,local,False,25,38
:feat:projects:be:driven:impl::main,:feat:projects:be:driven:impl,main,3,138,local,False,1,1
:feat:projects:be:driven:test::main,:feat:projects:be:driven:test,main,1,40,local,False,73,92
:feat:projects:be:driving:impl::main,:feat:projects:be:driving:impl,main,3,146,local,False,1,1
:feat:projects:be:ports::main,:feat:projects:be:ports,main,1,31,local,False,73,92
:feat:projects:business:model::commonMain[FE+BE],:feat:projects:business:model,commonMain[FE+BE],1,25,local,False,41,70
:feat:projects:contract::commonMain[FE+BE],:feat:projects:contract,commonMain[FE+BE],3,73,local,False,2,3
:feat:projects:fe:app:api::commonMain[FE],:feat:projects:fe:app:api,commonMain[FE],7,145,local,False,7,21
:feat:projects:fe:app:api::nonWebMain,:feat:projects:fe:app:api,nonWebMain,1,20,local,False,7,6
:feat:projects:fe:app:api::webMain,:feat:projects:fe:app:api,webMain,1,20,local,False,7,6
:feat:projects:fe:app:impl::commonMain[FE],:feat:projects:fe:app:impl,commonMain[FE],10,355,local,False,4,12
:feat:projects:fe:app:impl::commonTest,:feat:projects:fe:app:impl,commonTest,6,584,local,False,4,5
:feat:projects:fe:app:impl::nonWebMain,:feat:projects:fe:app:impl,nonWebMain,4,236,local,False,4,3
:feat:projects:fe:app:impl::nonWebTest,:feat:projects:fe:app:impl,nonWebTest,3,417,local,False,4,0
:feat:projects:fe:app:impl::webMain,:feat:projects:fe:app:impl,webMain,4,203,local,False,4,3
:feat:projects:fe:app:impl::webTest,:feat:projects:fe:app:impl,webTest,3,352,local,False,4,0
:feat:projects:fe:driven:impl::commonMain[FE],:feat:projects:fe:driven:impl,commonMain[FE],5,243,local,False,1,1
:feat:projects:fe:driven:test::commonMain[FE],:feat:projects:fe:driven:test,commonMain[FE],4,117,local,False,9,21
:feat:projects:fe:driving:impl::commonMain[FE],:feat:projects:fe:driving:impl,commonMain[FE],5,125,local,False,2,9
:feat:projects:fe:driving:impl::commonTest,:feat:projects:fe:driving:impl,commonTest,2,72,local,False,2,0
:feat:projects:fe:driving:impl::nonWebMain,:feat:projects:fe:driving:impl,nonWebMain,2,142,local,False,2,4
:feat:projects:fe:driving:impl::webMain,:feat:projects:fe:driving:impl,webMain,2,155,local,False,2,1
:feat:projects:fe:ports::commonMain[FE],:feat:projects:fe:ports,commonMain[FE],2,73,local,False,11,23
:root::non-module,:root,non-module,7,101,local,True,0,0
