file,unit,status,loc_churn,bucket,recurring,source,reason,blast_radius_module,blast_radius_unit
build-logic/src/main/kotlin/cz/adamec/timotej/snag/buildsrc/configuration/AutoWiring.kt,:build-logic::non-module,M,10,collateral,False,hand:wearos_classifier,Aktualizace parseru archCheck pro rozpoznání variant-suffix tokenů (common/nonWear/wear). Jednorázová úprava per codebase (koncept parseru generalizuje).,0,0
build-logic/src/main/kotlin/cz/adamec/timotej/snag/buildsrc/configuration/architecture/ModuleIdentity.kt,:build-logic::non-module,M,2,collateral,False,hand:wearos_classifier,Aktualizace parseru archCheck pro rozpoznání variant-suffix tokenů (common/nonWear/wear). Jednorázová úprava per codebase (koncept parseru generalizuje).,0,0
build-logic/src/main/kotlin/cz/adamec/timotej/snag/buildsrc/configuration/architecture/ModulePathParser.kt,:build-logic::non-module,M,13,collateral,False,hand:wearos_classifier,Aktualizace parseru archCheck pro rozpoznání variant-suffix tokenů (common/nonWear/wear). Jednorázová úprava per codebase (koncept parseru generalizuje).,0,0
build-logic/src/test/kotlin/cz/adamec/timotej/snag/buildsrc/configuration/architecture/ArchitectureRulesTest.kt,:build-logic::non-module,M,20,collateral,False,hand:wearos_classifier,Aktualizace parseru archCheck pro rozpoznání variant-suffix tokenů (common/nonWear/wear). Jednorázová úprava per codebase (koncept parseru generalizuje).,0,0
build-logic/src/test/kotlin/cz/adamec/timotej/snag/buildsrc/configuration/architecture/ModulePathParserTest.kt,:build-logic::non-module,M,78,collateral,False,hand:wearos_classifier,Aktualizace parseru archCheck pro rozpoznání variant-suffix tokenů (common/nonWear/wear). Jednorázová úprava per codebase (koncept parseru generalizuje).,0,0
composeApp/build.gradle.kts,:root::non-module,M,5,collateral,False,rule:build_gradle_collateral,"Úprava build.gradle.kts ve stávajícím modulu — typicky nová závislost nebo deklarace pluginu, odbouratelné pokud konvenční pluginy autowire",0,0
composeApp/src/commonMain/kotlin/cz/adamec/timotej/snag/di/AppModule.kt,:composeApp::commonMain[FE],M,6,collateral,False,hand:wearos_classifier,Kompoziční kořen telefonní aplikace: přejmenování agregátního valu + přidán nonWear agregát. Jednorázová úprava konzumenta per codebase po refaktoringu D8.,1,1
feat/authentication/fe/common/driven/src/commonMain/kotlin/cz/adamec/timotej/snag/authentication/fe/common/driven/di/AuthenticationDrivenModule.kt,:root::non-module,A,26,collateral,False,hand:wearos_classifier,Společný Koin modul po platform-extraction refaktoringu: vazba AuthTokenProvider přesunuta do paralelních modulů nonWear/wear. Předchází fázi 3; odhaleno rozšířením na Wear.,0,0
feat/authentication/fe/driven/impl/build.gradle.kts -> feat/authentication/fe/common/driven/build.gradle.kts,:root::non-module,R,0,collateral,False,rule:build_gradle_collateral,"Úprava build.gradle.kts ve stávajícím modulu — typicky nová závislost nebo deklarace pluginu, odbouratelné pokud konvenční pluginy autowire",0,0
feat/authentication/fe/driven/impl/src/androidMain/kotlin/cz/adamec/timotej/snag/authentication/fe/driven/di/AuthenticationDrivenModule.android.kt -> feat/authentication/fe/common/driven/src/androidMain/kotlin/cz/adamec/timotej/snag/authentication/fe/common/driven/di/AuthenticationDrivenModule.android.kt,:feat:authentication:fe:driven:impl::androidMain,R,11,collateral,False,hand:wearos_classifier,"Git rename: feat/authentication/fe/driven/impl → feat/authentication/fe/common/driven (variant-first refaktoring D8). Strukturální, bez změny sémantiky kódu.",1,1
feat/authentication/fe/driven/impl/src/commonMain/kotlin/cz/adamec/timotej/snag/authentication/fe/driven/di/AuthenticationDrivenModule.kt -> feat/authentication/fe/nonWear/driven/src/commonMain/kotlin/cz/adamec/timotej/snag/authentication/fe/nonwear/driven/di/AuthenticationDrivenNonWearModule.kt,:feat:authentication:fe:driven:impl::commonMain[FE],R,16,collateral,True,hand:wearos_classifier,Mobile-extraction paralelní modul: obsahuje vazbu AuthTokenProvider dříve nadměrně sdílenou v common. Opakuje se u každé funkcionality vyžadující per-platform vazbu.,1,1
feat/authentication/fe/driven/impl/src/commonMain/kotlin/cz/adamec/timotej/snag/authentication/fe/driven/internal/LH.kt -> feat/authentication/fe/common/driven/src/commonMain/kotlin/cz/adamec/timotej/snag/authentication/fe/common/driven/internal/LH.kt,:feat:authentication:fe:driven:impl::commonMain[FE],R,2,collateral,False,hand:wearos_classifier,"Git rename: feat/authentication/fe/driven/impl → feat/authentication/fe/common/driven (variant-first refaktoring D8). Strukturální, bez změny sémantiky kódu.",1,1
feat/authentication/fe/driven/impl/src/commonMain/kotlin/cz/adamec/timotej/snag/authentication/fe/driven/internal/MockAuthTokenProvider.kt -> feat/authentication/fe/common/driven/src/commonMain/kotlin/cz/adamec/timotej/snag/authentication/fe/common/driven/internal/MockAuthTokenProvider.kt,:feat:authentication:fe:driven:impl::commonMain[FE],R,6,collateral,False,hand:wearos_classifier,"Git rename: feat/authentication/fe/driven/impl → feat/authentication/fe/common/driven (variant-first refaktoring D8). Strukturální, bez změny sémantiky kódu.",1,1
feat/authentication/fe/driven/impl/src/commonMain/kotlin/cz/adamec/timotej/snag/authentication/fe/driven/internal/OidcAuthTokenProvider.kt -> feat/authentication/fe/common/driven/src/commonMain/kotlin/cz/adamec/timotej/snag/authentication/fe/common/driven/internal/OidcAuthTokenProvider.kt,:feat:authentication:fe:driven:impl::commonMain[FE],R,6,collateral,False,hand:wearos_classifier,"Git rename: feat/authentication/fe/driven/impl → feat/authentication/fe/common/driven (variant-first refaktoring D8). Strukturální, bez změny sémantiky kódu.",1,1
feat/authentication/fe/driven/impl/src/iosMain/kotlin/cz/adamec/timotej/snag/authentication/fe/driven/di/AuthenticationDrivenModule.ios.kt -> feat/authentication/fe/common/driven/src/iosMain/kotlin/cz/adamec/timotej/snag/authentication/fe/common/driven/di/AuthenticationDrivenModule.ios.kt,:feat:authentication:fe:driven:impl::iosMain,R,2,collateral,False,hand:wearos_classifier,"Git rename: feat/authentication/fe/driven/impl → feat/authentication/fe/common/driven (variant-first refaktoring D8). Strukturální, bez změny sémantiky kódu.",1,1
feat/authentication/fe/driven/impl/src/jvmMain/kotlin/cz/adamec/timotej/snag/authentication/fe/driven/di/AuthenticationDrivenModule.jvm.kt -> feat/authentication/fe/common/driven/src/jvmMain/kotlin/cz/adamec/timotej/snag/authentication/fe/common/driven/di/AuthenticationDrivenModule.jvm.kt,:feat:authentication:fe:driven:impl::jvmMain,R,4,collateral,False,hand:wearos_classifier,"Git rename: feat/authentication/fe/driven/impl → feat/authentication/fe/common/driven (variant-first refaktoring D8). Strukturální, bez změny sémantiky kódu.",1,1
feat/authentication/fe/driven/impl/src/jvmMain/kotlin/cz/adamec/timotej/snag/authentication/fe/driven/internal/JvmEncryptedSettingsStore.kt -> feat/authentication/fe/common/driven/src/jvmMain/kotlin/cz/adamec/timotej/snag/authentication/fe/common/driven/internal/JvmEncryptedSettingsStore.kt,:feat:authentication:fe:driven:impl::jvmMain,R,2,collateral,False,hand:wearos_classifier,"Git rename: feat/authentication/fe/driven/impl → feat/authentication/fe/common/driven (variant-first refaktoring D8). Strukturální, bez změny sémantiky kódu.",1,1
feat/authentication/fe/driven/impl/src/webMain/kotlin/cz/adamec/timotej/snag/authentication/fe/driven/di/AuthenticationDrivenModule.web.kt -> feat/authentication/fe/common/driven/src/webMain/kotlin/cz/adamec/timotej/snag/authentication/fe/common/driven/di/AuthenticationDrivenModule.web.kt,:feat:authentication:fe:driven:impl::webMain,R,4,collateral,False,hand:wearos_classifier,"Git rename: feat/authentication/fe/driven/impl → feat/authentication/fe/common/driven (variant-first refaktoring D8). Strukturální, bez změny sémantiky kódu.",1,1
feat/authentication/fe/driven/impl/src/webMain/kotlin/cz/adamec/timotej/snag/authentication/fe/driven/internal/WebLocalStorageSettingsStore.kt -> feat/authentication/fe/common/driven/src/webMain/kotlin/cz/adamec/timotej/snag/authentication/fe/common/driven/internal/WebLocalStorageSettingsStore.kt,:feat:authentication:fe:driven:impl::webMain,R,2,collateral,False,hand:wearos_classifier,"Git rename: feat/authentication/fe/driven/impl → feat/authentication/fe/common/driven (variant-first refaktoring D8). Strukturální, bez změny sémantiky kódu.",1,1
