unit,module_path,source_set,file_count,loc_churn_sum,dominant_bucket,recurring,blast_radius_module,blast_radius_unit
:build-logic::non-module,:build-logic,non-module,5,123,collateral,False,0,0
:composeApp::commonMain[FE],:composeApp,commonMain[FE],1,6,collateral,False,1,1
:feat:authentication:fe:driven:impl::androidMain,:feat:authentication:fe:driven:impl,androidMain,1,11,collateral,False,1,1
:feat:authentication:fe:driven:impl::commonMain[FE],:feat:authentication:fe:driven:impl,commonMain[FE],4,30,collateral,True,1,1
:feat:authentication:fe:driven:impl::iosMain,:feat:authentication:fe:driven:impl,iosMain,1,2,collateral,False,1,1
:feat:authentication:fe:driven:impl::jvmMain,:feat:authentication:fe:driven:impl,jvmMain,2,6,collateral,False,1,1
:feat:authentication:fe:driven:impl::webMain,:feat:authentication:fe:driven:impl,webMain,2,6,collateral,False,1,1
:feat:projects:fe:driving:impl::commonMain[FE],:feat:projects:fe:driving:impl,commonMain[FE],33,212,collateral,False,2,8
:feat:projects:fe:driving:impl::commonTest,:feat:projects:fe:driving:impl,commonTest,5,10,collateral,False,2,8
:feat:projects:fe:driving:impl::nonWebMain,:feat:projects:fe:driving:impl,nonWebMain,3,12,collateral,False,2,8
:feat:projects:fe:driving:impl::webMain,:feat:projects:fe:driving:impl,webMain,3,12,collateral,False,2,8
:koinModulesAggregate:fe::commonMain[FE],:koinModulesAggregate:fe,commonMain[FE],1,10,intrinsic,True,2,8
:root::non-module,:root,non-module,42,1414,intrinsic,True,0,0
:root::settings,:root,settings,1,12,intrinsic,True,0,0
:testInfra:fe::commonMain[FE],:testInfra:fe,commonMain[FE],1,6,collateral,False,74,160
