module_path,category,feature,platform,hex_layer,encapsulation,plugin_applied,source_set,source_set_dir,source_set_dir_rel,platform_set,kotlin_loc,kotlin_files
:androidApp,app,,,,,,main,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/androidApp/src/main,androidApp/src/main,android,35,1
:composeApp,app,,,,,libs.plugins.snag.driving.frontend.multiplatform.module,androidMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/composeApp/src/androidMain,composeApp/src/androidMain,android,0,0
:composeApp,app,,,,,libs.plugins.snag.driving.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/composeApp/src/commonMain,composeApp/src/commonMain,frontend,526,15
:composeApp,app,,,,,libs.plugins.snag.driving.frontend.multiplatform.module,iosMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/composeApp/src/iosMain,composeApp/src/iosMain,ios,5,1
:composeApp,app,,,,,libs.plugins.snag.driving.frontend.multiplatform.module,jvmMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/composeApp/src/jvmMain,composeApp/src/jvmMain,jvm_desktop,13,1
:composeApp,app,,,,,libs.plugins.snag.driving.frontend.multiplatform.module,jvmTest,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/composeApp/src/jvmTest,composeApp/src/jvmTest,,32,1
:composeApp,app,,,,,libs.plugins.snag.driving.frontend.multiplatform.module,nonWebMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/composeApp/src/nonWebMain,composeApp/src/nonWebMain,nonWeb_fe,4,1
:composeApp,app,,,,,libs.plugins.snag.driving.frontend.multiplatform.module,webMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/composeApp/src/webMain,composeApp/src/webMain,web,77,3
:server,app,,,,,libs.plugins.snag.impl.driving.backend.module,main,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/server/src/main,server/src/main,backend,452,3
:server,app,,,,,libs.plugins.snag.impl.driving.backend.module,test,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/server/src/test,server/src/test,,19,1
:koinModulesAggregate:be,infra,,,,,libs.plugins.snag.backend.module,main,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/koinModulesAggregate/be/src/main,koinModulesAggregate/be/src/main,backend,69,1
:koinModulesAggregate:fe,infra,,,,,libs.plugins.snag.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/koinModulesAggregate/fe/src/commonMain,koinModulesAggregate/fe/src/commonMain,frontend,85,1
:testInfra:be,infra,,,,,libs.plugins.snag.backend.module,main,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/testInfra/be/src/main,testInfra/be/src/main,backend,18,1
:testInfra:common,infra,,,,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/testInfra/common/src/commonMain,testInfra/common/src/commonMain,all,49,2
:testInfra:fe,infra,,,,,libs.plugins.snag.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/testInfra/fe/src/commonMain,testInfra/fe/src/commonMain,frontend,34,1
:core:foundation:be,core,,be,,,libs.plugins.snag.backend.module,main,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/core/foundation/be/src/main,core/foundation/be/src/main,backend,7,1
:core:foundation:common,core,,common,,,libs.plugins.snag.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/core/foundation/common/src/commonMain,core/foundation/common/src/commonMain,all,131,9
:core:foundation:common,core,,common,,,libs.plugins.snag.multiplatform.module,commonTest,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/core/foundation/common/src/commonTest,core/foundation/common/src/commonTest,,101,1
:core:foundation:common,core,,common,,,libs.plugins.snag.multiplatform.module,nonWebMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/core/foundation/common/src/nonWebMain,core/foundation/common/src/nonWebMain,nonWeb_shared,9,1
:core:foundation:common,core,,common,,,libs.plugins.snag.multiplatform.module,webMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/core/foundation/common/src/webMain,core/foundation/common/src/webMain,web,8,1
:core:foundation:fe,core,,fe,,,libs.plugins.snag.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/core/foundation/fe/src/commonMain,core/foundation/fe/src/commonMain,frontend,11,2
:core:network:fe,core,,fe,,,libs.plugins.snag.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/core/network/fe/src/commonMain,core/network/fe/src/commonMain,frontend,222,9
:core:storage:fe,core,,fe,,,libs.plugins.snag.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/core/storage/fe/src/commonMain,core/storage/fe/src/commonMain,frontend,10,1
:core:storage:fe,core,,fe,,,libs.plugins.snag.frontend.multiplatform.module,nonWebMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/core/storage/fe/src/nonWebMain,core/storage/fe/src/nonWebMain,nonWeb_fe,10,1
:feat:clients:contract,feat,clients,,,contract,libs.plugins.snag.contract.driving.backend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/clients/contract/src/commonMain,feat/clients/contract/src/commonMain,all,32,3
:feat:findings:contract,feat,findings,,,contract,libs.plugins.snag.contract.driving.backend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/findings/contract/src/commonMain,feat/findings/contract/src/commonMain,all,66,4
:feat:inspections:contract,feat,inspections,,,contract,libs.plugins.snag.contract.driving.backend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/inspections/contract/src/commonMain,feat/inspections/contract/src/commonMain,all,37,3
:feat:projects:contract,feat,projects,,,contract,libs.plugins.snag.contract.driving.backend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/projects/contract/src/commonMain,feat/projects/contract/src/commonMain,all,66,6
:feat:reports:contract,feat,reports,,,contract,libs.plugins.snag.contract.driving.backend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/reports/contract/src/commonMain,feat/reports/contract/src/commonMain,all,5,1
:feat:structures:contract,feat,structures,,,contract,libs.plugins.snag.contract.driving.backend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/structures/contract/src/commonMain,feat/structures/contract/src/commonMain,all,31,3
:feat:users:contract,feat,users,,,contract,libs.plugins.snag.contract.driving.backend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/feat/users/contract/src/commonMain,feat/users/contract/src/commonMain,all,19,2
:lib:database:fe,lib,,fe,,,libs.plugins.snag.frontend.multiplatform.module,androidMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/database/fe/src/androidMain,lib/database/fe/src/androidMain,android,17,1
:lib:database:fe,lib,,fe,,,libs.plugins.snag.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/database/fe/src/commonMain,lib/database/fe/src/commonMain,frontend,164,5
:lib:database:fe,lib,,fe,,,libs.plugins.snag.frontend.multiplatform.module,iosMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/database/fe/src/iosMain,lib/database/fe/src/iosMain,ios,15,1
:lib:database:fe,lib,,fe,,,libs.plugins.snag.frontend.multiplatform.module,jvmMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/database/fe/src/jvmMain,lib/database/fe/src/jvmMain,jvm_desktop,15,1
:lib:database:fe,lib,,fe,,,libs.plugins.snag.frontend.multiplatform.module,webMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/database/fe/src/webMain,lib/database/fe/src/webMain,web,10,1
:lib:design:fe,lib,,fe,,,libs.plugins.snag.driving.frontend.multiplatform.module,androidMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/design/fe/src/androidMain,lib/design/fe/src/androidMain,android,7,1
:lib:design:fe,lib,,fe,,,libs.plugins.snag.driving.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/design/fe/src/commonMain,lib/design/fe/src/commonMain,frontend,1243,34
:lib:design:fe,lib,,fe,,,libs.plugins.snag.driving.frontend.multiplatform.module,commonTest,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/design/fe/src/commonTest,lib/design/fe/src/commonTest,,171,1
:lib:design:fe,lib,,fe,,,libs.plugins.snag.driving.frontend.multiplatform.module,jvmMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/design/fe/src/jvmMain,lib/design/fe/src/jvmMain,jvm_desktop,19,2
:lib:design:fe,lib,,fe,,,libs.plugins.snag.driving.frontend.multiplatform.module,nonAndroidMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/design/fe/src/nonAndroidMain,lib/design/fe/src/nonAndroidMain,nonAndroid_fe,9,1
:lib:design:fe,lib,,fe,,,libs.plugins.snag.driving.frontend.multiplatform.module,nonJvmMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/design/fe/src/nonJvmMain,lib/design/fe/src/nonJvmMain,nonJvm,3,1
:lib:routing:be,lib,,be,,,libs.plugins.snag.impl.driving.backend.module,main,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/phase2-ripple-tooling/lib/routing/be/src/main,lib/routing/be/src/main,backend,21,4
