module_path,category,feature,platform,hex_layer,encapsulation,plugin_applied,source_set,source_set_dir,source_set_dir_rel,platform_set,kotlin_loc,kotlin_files
:androidApp,app,,,,,,main,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/androidApp/src/main,androidApp/src/main,android,0,0
:composeApp,app,,,,,libs.plugins.snag.driving.frontend.multiplatform.module,androidMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/composeApp/src/androidMain,composeApp/src/androidMain,android,0,0
:composeApp,app,,,,,libs.plugins.snag.driving.frontend.multiplatform.module,commonMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/composeApp/src/commonMain,composeApp/src/commonMain,frontend,0,0
:composeApp,app,,,,,libs.plugins.snag.driving.frontend.multiplatform.module,iosMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/composeApp/src/iosMain,composeApp/src/iosMain,ios,0,0
:composeApp,app,,,,,libs.plugins.snag.driving.frontend.multiplatform.module,jvmMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/composeApp/src/jvmMain,composeApp/src/jvmMain,jvm_desktop,0,0
:composeApp,app,,,,,libs.plugins.snag.driving.frontend.multiplatform.module,jvmTest,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/composeApp/src/jvmTest,composeApp/src/jvmTest,,0,0
:composeApp,app,,,,,libs.plugins.snag.driving.frontend.multiplatform.module,nonWebMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/composeApp/src/nonWebMain,composeApp/src/nonWebMain,nonWeb_fe,0,0
:composeApp,app,,,,,libs.plugins.snag.driving.frontend.multiplatform.module,webMain,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/composeApp/src/webMain,composeApp/src/webMain,web,0,0
:server,app,,,,,libs.plugins.snag.impl.driving.backend.module,main,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/server/src/main,server/src/main,backend,0,0
:server,app,,,,,libs.plugins.snag.impl.driving.backend.module,test,/Users/timotej.adamec/StudioProjects/Snag/.claude/worktrees/commonize-photo/server/src/test,server/src/test,,0,0
